#{"t_start": 1635361320.663791, "env_id": null}
r,l,t
-401.826894,16,0.009329
-402.377838,46,0.072532
-32.022185,800,0.473208
-25.258003,800,2.939121
54.944448,800,5.440801
-430.932071,201,7.732839
-400.413405,125,8.33576
-404.282904,122,8.724622
-403.016215,148,9.113628
-401.624771,114,9.563928
-402.227726,57,9.894513
-396.678661,134,10.09877
-387.866454,240,10.550482
-405.954068,153,11.26639
82.365701,800,11.959798
179.482843,800,16.879282
268.298718,800,19.382493
226.084191,800,21.889945
371.246567,800,24.38745
413.424317,800,26.894868
-305.935686,383,29.256932
344.715518,800,30.597996
351.990338,800,35.513362
354.962547,800,38.004862
368.302934,800,40.498883
362.120876,800,42.994245
367.794495,800,45.487036
453.22367,800,47.97274
-139.964629,657,52.89396
-229.991561,409,54.850356
404.955087,800,56.256381
453.109114,800,58.750665
502.285578,800,61.262087
509.096608,800,63.785881
503.976947,800,66.280978
500.402028,800,71.21028
468.375216,800,73.709206
550.279652,800,76.226399
637.328132,800,78.748913
541.437436,800,81.287674
702.342109,800,83.827173
654.032072,800,88.773506
580.198399,800,91.275316
658.990737,800,93.784292
668.936385,800,96.299903
683.755492,800,98.806446
696.485442,800,101.316074
628.822711,800,106.25554
714.944516,800,108.765067
696.822924,800,111.28136
716.469887,800,113.797755
710.212453,800,116.307495
678.476369,800,118.830892
704.355802,800,121.37692
707.962889,800,126.352317
679.208184,800,128.894093
703.73077,800,131.441413
719.85145,800,133.988931
696.367322,800,136.550934
723.763022,800,139.144403
696.845235,800,144.184462
700.50489,800,146.758136
658.203642,800,149.339369
713.275499,800,151.922462
707.028335,800,154.507735
700.65258,800,157.096503
705.201565,800,162.118894
690.517103,800,164.730508
706.100331,800,167.353053
676.167433,800,169.982409
690.711021,800,172.61168
721.9083,800,175.236643
703.817285,800,180.29345
674.450552,800,182.941082
678.761348,800,185.584651
664.406806,800,188.22688
661.96417,800,190.866832
707.264896,800,193.510665
686.059259,800,196.16954
683.382384,800,201.277692
693.134707,800,203.953828
707.618665,800,206.65186
678.975772,800,209.360216
697.725422,800,212.074207
693.056684,800,214.79837
-230.581265,248,217.321194
693.071037,800,220.801581
-79.112322,396,223.406505
671.799349,800,224.920224
699.371629,800,227.679678
693.41254,800,230.445585
718.321643,800,233.217776
646.047396,800,238.434632
664.417437,800,241.235636
682.710158,800,244.051099
685.327462,800,246.864027
697.260993,800,249.682965
700.096811,800,252.505674
682.505008,800,255.334893
697.159733,800,260.601006
700.526486,800,263.435828
689.534164,800,266.300376
689.706047,800,269.16752
706.633259,800,272.008811
716.277942,800,274.856078
710.534755,800,280.140445
712.675312,800,283.188355
658.9265,800,286.04212
707.681344,800,288.924814
712.645667,800,291.807802
726.985931,800,294.674984
713.75862,800,299.773627
699.175817,800,302.662832
708.885442,800,305.560314
691.349757,800,308.417838
680.972339,800,311.289994
686.218258,800,314.172691
717.496374,800,319.688836
709.168682,800,322.575182
682.693991,800,325.460658
700.269727,800,328.346172
-230.222738,250,331.037776
700.409073,800,332.135366
703.45579,800,335.01493
710.820682,800,340.31677
686.933781,800,343.189458
666.414832,800,346.064345
686.062705,800,348.932662
-165.463475,315,351.652491
698.397345,800,352.964315
683.74659,800,355.842163
659.145379,800,361.231015
685.472145,800,364.124588
670.11978,800,367.011851
681.136207,800,369.89644
696.192232,800,372.792939
691.991472,800,375.690352
699.334863,800,381.025752
670.155706,800,383.929143
-403.300392,62,386.578883
671.461782,800,387.067404
694.486582,800,389.981644
673.270781,800,392.898073
694.366925,800,395.845788
683.129197,800,398.785102
673.317521,800,404.185185
663.844542,800,407.109311
691.897529,800,410.02266
685.873803,800,412.967664
702.084609,800,415.91494
672.598365,800,418.872904
684.754193,800,424.229063
652.357036,800,427.153788
683.203798,800,430.112506
681.141568,800,433.073852
685.125904,800,436.031831
630.849294,800,439.006309
693.201108,800,444.412477
694.113397,800,447.393297
675.879972,800,450.326044
690.555214,800,453.28599
688.483354,800,456.230895
681.909209,800,459.182773
696.293708,800,464.589252
665.485782,800,467.568298
671.117186,800,470.53137
700.418408,800,473.48308
661.790234,800,476.432476
660.807239,800,479.407028
677.313978,800,482.39043
685.777269,800,487.799622
684.772727,800,490.790925
-402.394446,37,493.496263
689.295022,800,493.900211
680.533983,800,496.869637
663.190017,800,499.826782
662.349081,800,502.804528
55.126197,579,508.128986
643.198551,800,510.357288
653.10759,800,513.319717
695.674825,800,516.288644
685.91846,800,519.264282
634.048278,800,522.253009
-287.299692,178,525.016365
717.60358,800,528.322875
678.229069,800,531.283571
724.778347,800,534.258917
707.270146,800,537.227029
708.567581,800,540.190296
670.556534,800,543.165496
665.842374,800,548.543879
683.243926,800,551.499397
646.465903,800,554.444613
680.539584,800,557.407348
710.078946,800,560.366296
685.361396,800,563.311377
674.532745,800,566.273801
686.649153,800,571.683585
682.846228,800,574.662309
689.677749,800,577.639353
693.740769,800,580.59499
678.237106,800,583.550472
684.803541,800,586.507649
697.387349,800,591.915666
