#{"t_start": 1635360729.3736286, "env_id": null}
r,l,t
-402.418764,19,0.008606
-403.53615,38,0.088379
-411.506748,90,0.222628
-397.79816,343,0.553765
-4.704146,800,1.657043
-381.727579,197,3.805102
-400.151642,141,4.362401
-403.393387,36,4.747386
-401.821516,19,4.847619
-400.532403,60,4.919977
-401.813419,16,5.082097
-399.570351,65,5.145757
-397.951262,59,5.336307
-402.053432,30,5.500853
-394.603804,76,5.605533
-402.893456,29,5.823673
105.356045,800,6.159792
144.796513,800,8.561028
170.128402,800,10.994078
-318.824552,242,13.247723
-273.672417,368,15.001295
-283.598348,308,16.093008
-233.055667,452,17.059932
-351.810874,171,18.344948
-145.145361,752,19.048735
339.484386,800,21.328654
350.092887,800,23.761727
344.123256,800,26.197503
-182.200436,671,28.602804
308.950858,800,32.674854
358.261359,800,35.171945
345.29836,800,37.710434
331.882896,800,40.181916
357.12596,800,42.67742
385.800558,800,45.146534
-331.353071,186,47.419477
376.263221,800,50.086223
408.341527,800,52.576922
437.92937,800,55.063655
319.68962,800,57.570535
428.465744,800,60.081903
340.718965,800,62.592413
331.498044,800,66.460034
329.841324,800,68.972163
377.883435,800,71.47867
430.323497,800,73.99735
422.824051,800,76.50871
376.716452,800,79.012927
463.341337,800,83.78693
377.023236,800,86.300847
514.798474,800,88.806361
370.460333,800,91.327432
382.755874,800,93.83541
399.660937,800,96.355536
399.126754,800,98.880424
425.042651,800,103.64406
422.157299,800,106.163358
409.628816,800,108.691837
411.263793,800,111.225245
464.864647,800,113.767518
428.595574,800,116.312071
389.561336,800,121.119476
432.09726,800,123.680464
405.222649,800,126.242462
408.696375,800,128.797582
508.220756,800,131.368443
709.489304,800,133.94227
689.855559,800,138.764854
458.214702,800,141.347076
685.912398,800,143.933039
707.153003,800,146.515316
619.538346,800,149.102991
688.075718,800,151.706495
678.425086,800,156.562976
683.543074,800,159.16225
716.138729,800,161.766257
698.720852,800,164.384817
723.930521,800,167.008004
689.310545,800,169.622669
717.760426,800,172.260721
227.96337,756,177.148817
696.634592,800,179.645771
708.499048,800,182.520751
701.239789,800,185.172346
684.438685,800,187.824179
726.561613,800,190.473791
696.223989,800,195.185184
697.931673,800,197.863149
685.945248,800,200.542632
674.526634,800,203.221146
737.202733,800,205.905762
719.29051,800,208.621335
692.332386,800,213.597612
670.579532,800,216.343467
692.164326,800,219.093901
661.292332,800,221.84425
714.755777,800,224.616508
668.693274,800,227.410132
628.413554,800,232.479876
723.898627,800,235.261134
692.841395,800,238.097829
681.451782,800,240.928922
710.695783,800,243.769927
701.894545,800,246.614666
720.096912,800,249.50554
672.820175,800,254.657596
713.406946,800,257.542427
681.844131,800,260.427562
686.101416,800,263.325814
702.291685,800,266.202095
722.192869,800,269.07955
686.011597,800,274.249689
710.179045,800,277.13066
705.337741,800,280.007773
-220.744609,244,282.712725
693.455266,800,283.768292
683.495317,800,286.647059
688.544612,800,289.527552
120.24719,606,294.612095
658.778989,800,296.850468
687.963638,800,299.726176
651.978966,800,302.60104
704.832714,800,305.475996
696.205844,800,308.354084
708.348777,800,313.500153
726.29492,800,316.397664
693.800548,800,319.266752
706.215972,800,322.149198
692.776862,800,325.020297
702.312052,800,327.901083
700.086657,800,330.783152
686.750197,800,335.930387
682.823556,800,338.798779
669.747011,800,341.684627
695.021626,800,344.577948
700.258597,800,347.458467
655.134518,800,350.354829
63.829881,581,355.442592
-242.328324,236,357.430665
661.237236,800,358.469078
664.673686,800,361.370577
727.702384,800,364.2633
694.898053,800,367.146
673.712274,800,370.025731
666.317482,800,375.197778
670.858248,800,378.096169
693.885579,800,381.009583
677.140161,800,383.912282
692.50013,800,386.827062
681.902768,800,389.794899
686.821489,800,395.006134
703.450426,800,397.965947
719.420521,800,400.913526
679.208823,800,403.827518
659.994216,800,406.827117
694.630651,800,409.820659
712.279754,800,412.803518
692.395341,800,418.154177
723.326246,800,421.15295
699.569663,800,424.113479
725.952766,800,427.102101
679.422088,800,430.017481
664.054761,800,432.819101
684.907427,800,437.839567
707.577806,800,440.837988
-268.189328,233,443.533353
65.835968,580,444.506305
667.172716,800,446.753
719.500524,800,449.853555
685.912082,800,452.779857
724.910285,800,458.163744
690.31695,800,461.150318
697.207809,800,464.090426
695.330769,800,467.147948
675.589886,800,470.233693
703.084959,800,473.629495
671.303229,800,479.051908
660.054316,800,482.246864
693.352613,800,485.406922
-312.264222,157,488.351352
702.124048,800,489.256239
707.967909,800,492.449554
682.905907,800,495.600286
702.529169,800,501.032413
696.244523,800,504.155682
-287.856773,185,507.017702
696.476843,800,507.917259
672.392452,800,510.999968
705.011493,800,514.125875
702.31938,800,517.198457
624.263971,800,522.851251
685.252792,800,526.051528
722.752115,800,529.348454
723.739943,800,532.656623
706.527874,800,535.80108
654.534885,800,538.948613
644.934481,800,542.292121
666.001112,800,547.702893
657.147236,800,550.97394
681.873213,800,554.086656
707.257919,800,557.178374
715.413034,800,560.260049
701.575208,800,563.123685
678.74676,800,568.162142
644.668897,800,571.136003
724.032388,800,574.126861
715.128185,800,577.109099
720.279463,800,580.184562
693.388682,800,583.276025
676.845374,800,588.53701
