#{"t_start": 1634173223.183801, "env_id": null}
r,l,t
-14.049581,800,0.937513
-403.850076,30,2.315204
-403.646332,150,2.527595
24.612169,800,3.798339
-2.570299,800,6.048525
27.982634,800,8.33926
72.45711,800,10.609378
-386.544051,141,12.093157
130.163998,800,21.641489
-380.644995,176,23.154285
117.639156,800,24.344956
168.313797,800,26.509828
-144.592369,739,28.699364
248.013801,800,30.875075
367.922149,800,33.211217
289.982926,800,45.365791
250.495475,800,47.626945
163.579668,800,49.889874
-303.416656,429,51.699002
384.187355,800,53.335054
320.011546,800,55.618288
-281.726791,300,57.273632
359.970165,800,58.687475
361.742965,800,64.377598
415.801944,800,66.612328
409.387559,800,68.892499
-351.460388,162,70.412858
-345.986249,176,70.851367
389.950686,800,72.023983
412.814899,800,74.280031
-341.214195,169,75.791645
415.200402,800,83.67717
-343.171118,160,85.184898
415.366236,800,86.382325
-342.016709,195,87.919571
390.567861,800,89.199471
327.095223,800,91.455533
450.358718,800,93.693234
406.130562,800,95.9682
386.466398,800,102.374454
-311.338268,231,103.975292
-302.18614,250,104.634407
-270.773742,333,105.423974
-322.308375,216,106.215253
-294.952552,239,106.8314
-307.485464,241,107.490396
-336.876535,183,108.06724
-315.328401,221,108.613115
-339.467462,171,109.153109
-306.89215,240,109.707837
-319.689604,215,110.344283
-288.542857,293,111.026181
-331.779503,190,111.717189
-295.429341,296,112.367366
350.046265,800,113.795602
399.202058,800,126.347157
371.091928,800,128.730372
385.700423,800,130.980843
397.395352,800,133.220051
408.762229,800,135.435285
404.80472,800,137.64487
399.036136,800,139.862239
411.914794,800,151.030191
385.200415,800,153.310463
332.350814,800,155.595209
337.332837,800,157.863533
355.256305,800,160.131076
360.042609,800,162.39905
397.47507,800,175.452586
396.602815,800,177.790562
417.195277,800,180.109548
420.910729,800,182.376529
418.759529,800,184.640882
414.073491,800,186.933272
429.427925,800,198.499647
383.98204,800,200.877964
360.719028,800,203.149138
410.182024,800,205.400181
458.014328,800,207.620064
393.806743,800,209.905442
409.848088,800,222.598068
412.115301,800,224.999976
406.975051,800,227.270592
466.95421,800,229.595577
467.352694,800,231.907865
525.425657,800,234.235248
552.220844,800,236.588649
553.688068,800,249.102441
583.422268,800,251.521988
670.247198,800,254.12004
589.638283,800,256.507755
607.91928,800,258.942061
654.891373,800,261.448519
695.936342,800,275.161028
705.914796,800,277.63968
688.006087,800,280.105108
706.694432,800,282.561285
681.899594,800,284.961849
699.097869,800,287.398848
666.248933,800,301.789865
684.760186,800,304.239213
655.723948,800,306.675258
675.446108,800,309.146572
714.171845,800,311.591882
678.589168,800,314.130494
656.797483,800,329.180834
662.25518,800,331.689232
687.495793,800,334.237352
684.632039,800,336.689513
661.036392,800,339.168826
679.108073,800,341.665034
679.567458,800,344.092674
644.825069,800,357.709125
709.765916,800,360.145224
715.122893,800,362.577819
673.917514,800,365.007334
698.340556,800,367.461169
670.320591,800,369.870596
666.09181,800,383.483659
707.882696,800,385.981473
717.24088,800,388.397299
-2.666128,502,390.321696
704.058451,800,392.133857
683.592643,800,394.479473
688.962747,800,406.709689
690.484705,800,409.093529
707.514148,800,411.434124
719.773802,800,413.725792
688.240756,800,416.029345
708.166347,800,418.345962
638.166148,800,420.572543
703.693773,800,433.00841
648.883473,800,435.253152
690.72839,800,437.568276
709.288302,800,439.903394
648.853105,800,442.127567
699.453949,800,444.377585
687.966154,800,456.439791
696.203125,800,458.735207
687.819966,800,461.00431
678.275392,800,463.320024
718.829643,800,465.68965
693.247136,800,468.038227
702.03741,800,479.472013
698.611313,800,481.896841
61.85854,571,483.936043
724.455633,800,485.930218
690.516692,800,488.284
692.03655,800,490.646165
677.094724,800,492.937652
688.061625,800,505.174388
695.451411,800,507.590468
691.385851,800,509.880509
675.523531,800,512.111347
678.152371,800,514.297719
692.341898,800,516.511594
703.677521,800,528.070191
699.05537,800,530.317227
692.873212,800,532.532644
672.32079,800,534.845328
684.499253,800,537.152729
703.356144,800,539.411006
683.983151,800,550.628012
719.753179,800,552.995077
708.156322,800,555.237853
738.667848,800,557.499797
682.145748,800,559.773687
713.041725,800,562.058943
715.981016,800,571.565884
708.387843,800,573.918204
717.658666,800,576.271299
716.859745,800,578.668448
712.033769,800,581.015659
725.380616,800,583.349158
707.116738,800,585.621738
685.573242,800,594.133436
691.055286,800,596.449555
694.77065,800,598.832124
693.502175,800,601.16622
701.926913,800,603.392094
715.334647,800,605.646702
711.346196,800,616.405527
685.773639,800,618.708008
238.412785,707,620.885201
717.033367,800,623.064175
178.188712,674,625.191057
689.221082,800,627.346418
701.299144,800,629.748816
688.455598,800,641.523959
693.476612,800,643.787934
687.874813,800,646.212448
689.272276,800,648.532325
707.044907,800,650.905918
689.39313,800,653.196926
717.395906,800,665.832191
692.055154,800,668.159161
690.896082,800,670.465453
720.199874,800,672.756058
664.983514,800,675.060958
686.78472,800,677.412515
716.960082,800,688.15167
686.983833,800,690.509438
713.94261,800,692.811838
697.622111,800,695.170129
718.329356,800,697.499331
684.381202,800,699.835054
692.911375,800,713.457414
