#{"t_start": 1634173938.0457752, "env_id": null}
r,l,t
-400.358175,4,0.008399
-400.838546,6,0.024295
-383.974621,39,0.085488
-393.411017,26,0.184903
-389.787739,29,0.262006
-399.358574,21,0.334218
-398.862682,8,0.3787
-395.235402,71,0.485921
-405.506247,82,0.724066
-399.530915,16,0.885221
-265.964442,506,1.586396
-395.89746,6,2.467101
150.861142,800,3.470494
35.082356,800,5.803259
176.524397,800,8.066438
142.671147,800,10.333755
182.629427,800,12.547402
364.069996,800,24.588712
-341.43029,408,26.306206
-339.655975,166,27.166342
-332.243706,205,27.677187
-285.76065,238,28.263135
-87.232399,506,29.248016
387.087268,800,31.074926
420.149151,800,33.398916
-367.413675,87,34.844074
-356.508208,114,35.124212
-259.811586,406,35.821837
428.816424,800,41.907319
380.768068,800,44.226798
379.622441,800,46.61841
386.995631,800,48.967565
433.461617,800,51.293123
441.862689,800,53.513021
414.939229,800,55.685892
456.857343,800,64.308793
-398.837006,3,65.639479
459.395362,800,66.500913
469.313778,800,68.709631
-200.818247,355,70.418368
516.960167,800,71.904391
-279.932887,208,73.454375
-240.232953,234,74.05182
60.060227,732,75.190523
512.524499,800,83.947482
532.315075,800,86.171173
619.552848,800,88.479904
-287.576946,162,89.97856
-268.127657,203,90.477947
-66.543129,384,91.349683
619.736901,800,93.03636
-290.399876,176,94.582425
-163.876347,257,95.257605
-156.790778,307,96.077201
-208.077234,244,96.91763
192.282114,683,107.142026
-401.636837,8,108.29711
315.663489,759,109.407214
-67.661683,558,111.419185
-61.500437,423,112.925426
716.5162,800,114.649539
765.676267,800,116.995628
739.298382,800,119.341678
703.463416,800,130.183425
774.479415,800,132.515689
739.948885,800,134.911561
747.971858,800,137.244324
769.183126,800,139.621966
729.302652,800,141.964515
698.463949,800,149.227486
712.80298,800,151.637557
152.162207,778,153.919551
762.058995,800,156.239426
765.429571,800,158.563036
746.669505,800,160.93804
721.537869,800,163.269826
769.24794,800,173.327164
710.023161,800,175.613995
734.809437,800,177.986168
764.383215,800,180.264962
746.46838,800,182.667339
691.929253,800,184.983133
-242.482769,204,186.536363
745.201588,800,194.36235
747.428455,800,196.68537
708.115024,800,198.985919
742.780145,800,201.334539
753.64263,800,203.655014
763.05112,800,205.919455
749.177997,800,218.016798
708.382557,800,220.443419
734.396735,800,222.780499
676.233558,800,225.086316
758.126271,800,227.391204
720.708098,800,229.712718
729.238571,800,240.167557
711.936735,800,242.470428
752.378477,800,244.795462
735.820983,800,247.08515
715.903031,800,249.45188
739.21903,800,251.779149
786.931041,800,263.923238
709.508168,800,266.308666
712.575192,800,268.710973
729.832195,800,271.013991
769.839598,800,273.290317
754.412242,800,275.668509
766.670535,800,277.977807
725.392188,800,288.886517
-241.006063,173,290.497803
744.633021,800,291.825155
712.739684,800,294.154601
710.933474,800,296.527985
772.12967,800,298.850496
780.03149,800,301.230884
726.310325,800,312.460644
679.355059,800,314.850903
721.745411,800,317.23737
273.990469,741,319.523209
767.838348,800,321.84807
757.931415,800,324.365235
740.485922,800,334.990686
741.292163,800,337.342681
-325.90456,87,338.823018
710.030128,800,339.936391
700.580521,800,342.295108
721.695031,800,344.585075
769.571662,800,346.947142
699.760374,800,356.561148
711.066379,800,358.800256
719.857225,800,361.023196
716.186377,800,363.320344
684.148556,800,365.561492
681.747281,800,367.754001
724.603827,800,377.747764
743.233165,800,379.925884
752.784429,800,382.299924
664.635307,800,384.548779
751.679596,800,386.936654
710.230862,800,389.305099
721.307342,800,391.593946
708.287404,800,398.23376
734.145541,800,400.50151
-399.945403,9,401.892679
725.322117,800,402.836892
745.358216,800,405.165046
679.357085,800,407.46411
747.82352,800,409.834184
710.308505,800,416.324385
769.209752,800,418.686707
750.260333,800,420.944577
737.969484,800,423.234287
749.851007,800,425.460315
726.46027,800,427.699606
711.705588,800,437.36415
711.920225,800,439.679205
736.935605,800,441.946535
-404.03084,18,443.312053
753.314239,800,444.335995
707.827239,800,446.701571
735.170433,800,449.004692
708.861018,800,458.617898
756.715679,800,460.98654
735.718815,800,463.402775
749.879589,800,465.641354
-331.1776,82,467.076589
722.035679,800,468.095374
-231.434208,187,469.654417
721.503508,800,470.921333
765.549006,800,482.247516
733.115352,800,484.51862
-398.164819,4,485.87067
710.714434,800,486.874562
747.295978,800,489.216815
706.528548,800,491.560587
725.955079,800,494.08072
685.561517,800,496.351648
727.863269,800,505.585904
-399.539886,4,506.979052
-166.136287,296,507.294353
696.498849,800,508.747418
707.509451,800,511.032414
736.356526,800,513.520263
719.784127,800,515.88976
681.07855,800,526.183804
755.056339,800,528.595645
742.058181,800,531.031638
732.412628,800,533.455392
727.008324,800,535.998237
728.099785,800,538.333678
762.383388,800,540.828624
715.221414,800,550.888641
-401.602776,11,552.263381
706.728421,800,553.280547
724.931596,800,555.713518
777.283272,800,558.223294
753.785238,800,560.455593
758.123878,800,562.686831
752.934151,800,575.874077
705.430586,800,578.155788
741.793629,800,580.502469
709.354024,800,582.947778
718.696722,800,585.433279
-400.263003,8,586.770205
720.902675,800,587.664306
704.836333,800,597.087459
749.065119,800,599.493254
741.246961,800,601.790626
747.589172,800,604.211528
706.007321,800,606.451371
731.808206,800,608.821065
703.358118,800,618.37333
748.792732,800,620.801807
741.373287,800,623.115904
745.607564,800,625.47882
712.943989,800,627.659356
764.708252,800,630.055542
743.321277,800,632.240259
763.367935,800,644.609025
-128.827048,343,646.309119
705.233741,800,647.844298
752.622662,800,650.065895
714.597406,800,652.304761
703.587951,800,654.646653
769.57949,800,656.946454
684.882323,800,667.261635
