#{"t_start": 1634178290.936178, "env_id": null}
r,l,t
-394.886763,56,0.098046
-403.252485,75,0.44019
-384.175408,31,0.731795
-392.433961,40,0.90019
-386.244971,38,1.101777
51.471946,800,2.853168
-396.347511,16,5.515164
-396.61303,32,5.628972
80.011613,800,7.650468
-394.300828,45,10.372971
-396.744297,13,10.542708
-364.397188,200,10.968215
146.831982,800,13.523903
72.851551,800,18.304297
259.891677,800,22.93504
204.760336,800,42.410314
193.749518,800,46.481286
420.789577,800,50.857792
-402.613474,17,53.620002
417.649675,800,55.377882
-170.378019,522,59.219473
422.074716,800,62.430229
-360.39397,61,65.200296
-135.410049,583,66.791753
-343.508696,117,69.033349
-324.022226,165,88.947121
18.414741,690,91.015901
-340.446306,139,93.606966
406.595565,800,95.69079
422.577606,800,100.360492
423.151734,800,104.760595
363.936174,800,109.127116
-319.324696,151,112.169774
-232.616058,333,113.382896
-243.870904,310,115.175676
-132.730448,448,124.33179
-305.921685,188,126.213782
-325.926072,157,127.153739
-306.561625,213,128.075611
-315.750711,173,129.101906
661.380038,800,131.43731
-254.380873,275,134.657108
463.391883,800,137.228299
-400.323604,1,140.068624
411.696402,800,141.655821
725.297601,800,146.207691
439.911335,800,165.335574
685.248216,800,169.915159
596.293264,800,174.603002
515.338109,800,179.155908
399.929082,800,183.651999
712.237778,800,188.329223
485.351402,800,215.360821
399.166626,800,219.726137
570.715606,800,224.314231
759.856876,800,229.000908
629.576104,800,233.668143
787.45089,800,238.446636
-242.861646,262,241.720169
718.85013,800,272.317661
406.172373,800,276.486731
-65.914516,345,280.073259
493.41416,800,282.955509
677.605878,800,288.473955
745.438252,800,293.619339
705.055295,800,299.444321
784.643259,800,321.658394
764.698616,800,326.457679
755.302936,800,331.043431
-400.280149,9,333.762641
774.466451,800,335.680984
701.214615,800,340.32353
765.430046,800,344.973525
731.702999,800,367.881803
764.941573,800,372.553825
707.94323,800,377.105894
743.519613,800,381.718611
784.126054,800,386.414647
767.374792,800,390.942829
767.729719,800,395.692806
756.071386,800,420.43682
656.093672,800,425.510333
733.237068,800,430.423014
713.726155,800,435.638865
761.535417,800,440.727462
703.11437,800,445.827853
787.489974,800,469.599212
736.07055,800,474.128177
725.563663,800,478.840694
747.669221,800,483.327425
712.045948,800,487.971512
-289.547659,174,491.183751
670.584947,800,493.58042
759.647044,800,516.06254
700.751981,800,520.564673
259.713674,727,524.996665
752.617613,800,529.305389
720.000395,800,534.079792
758.806937,800,538.677293
708.112237,800,561.172975
733.825061,800,565.819442
750.886237,800,570.653558
702.005088,800,575.522678
696.295249,800,580.089492
747.501593,800,584.920987
763.749428,800,607.851319
747.634411,800,612.398006
-396.244032,7,615.29674
707.128582,800,616.986684
-67.29274,388,620.685764
748.415149,800,623.743641
706.296251,800,628.270841
732.574951,800,633.006398
700.91734,800,654.063888
729.590856,800,658.559251
713.073507,800,663.204417
722.627387,800,667.847407
-191.481193,220,671.140408
736.367137,800,673.585145
766.268863,800,678.20199
763.125367,800,701.195061
758.143109,800,706.221296
727.630132,800,710.818905
751.333247,800,715.399713
704.561851,800,719.948155
682.863698,800,724.466346
779.432469,800,751.750721
765.715255,800,756.325943
697.525459,800,761.315718
731.284458,800,766.023736
753.832759,800,770.873452
697.537463,800,775.401279
742.840371,800,780.09404
708.607594,800,798.744539
739.790904,800,803.341043
751.029118,800,808.421388
768.203027,800,813.188735
-391.703924,74,816.202029
730.304674,800,818.236651
-402.261732,14,821.242283
767.10879,800,822.896453
691.101431,800,840.618605
717.132939,800,845.194136
665.932909,800,849.769862
706.932223,800,854.387408
733.803258,800,859.021266
675.143481,800,863.455248
707.211537,800,884.51248
693.394936,800,889.637217
662.319581,800,894.102339
738.966257,800,898.614899
689.325264,800,903.1405
730.534587,800,907.733989
741.075359,800,932.628913
692.462184,800,937.223045
719.704103,800,941.8942
696.141515,800,946.39751
666.308264,800,950.893745
725.607876,800,955.648585
734.921266,800,960.278082
755.017201,800,985.478904
747.27893,800,990.338163
733.933718,800,995.100105
705.376048,800,999.647669
739.027891,800,1004.600565
742.380781,800,1009.276164
677.973133,800,1026.588091
749.883228,800,1031.191794
713.179789,800,1035.806148
692.693574,800,1040.487699
680.952935,800,1045.078558
714.569967,800,1049.815444
725.583194,800,1066.127077
728.833734,800,1070.763623
664.376775,800,1075.438709
696.515947,800,1080.102512
722.207836,800,1084.617494
704.525878,800,1089.428263
690.841568,800,1110.91434
683.764823,800,1115.538569
687.130248,800,1120.30301
689.776759,800,1125.149936
704.602671,800,1129.975652
696.392605,800,1134.803619
707.116902,800,1139.563799
705.714439,800,1158.713582
707.312172,800,1163.428246
703.557929,800,1168.160908
753.753767,800,1173.074437
740.826549,800,1177.756611
728.19565,800,1182.546828
720.040571,800,1208.462746
-211.261493,281,1212.06475
669.996901,800,1214.795393
709.913414,800,1219.295261
728.973957,800,1224.709268
727.628649,800,1229.574503
737.486646,800,1234.049428
718.633131,800,1251.6612
687.36225,800,1256.557657
697.251107,800,1261.308415
663.264287,800,1265.993642
-400.508933,7,1268.992441
688.475659,800,1270.762438
739.486379,800,1275.444258
679.98305,800,1302.785535
722.348292,800,1307.776413
86.234667,540,1311.823633
697.52457,800,1315.524683
-86.560216,382,1319.206583
685.816248,800,1322.383929
700.536803,800,1327.103349
715.693295,800,1350.401397
676.245854,800,1355.139773
741.934582,800,1360.018531
730.372003,800,1364.775012
727.819719,800,1369.290133
728.899063,800,1374.105493
697.057238,800,1396.208932
