#{"t_start": 1627291061.198368, "env_id": null}
r,l,t
516.002517,800,42.392877
-159.609764,63,120.308332
139.708706,484,203.963071
-161.413631,36,283.714823
-158.523857,52,330.57431
544.711294,800,429.93026
548.975896,800,545.851223
351.55297,755,658.021178
-160.109495,38,747.757771
543.313392,800,852.367925
564.89789,800,968.231009
560.194172,800,1090.476137
200.444264,540,1190.880833
535.754446,800,1307.964957
536.885313,800,1420.326955
582.597603,800,1539.916416
-160.325596,59,1622.736176
600.388666,800,1667.024583
540.607084,800,1787.688344
557.997966,800,1910.551652
