#{"t_start": 1626337064.0600972, "env_id": null}
r,l,t
-75.556441,800,41.666164
-172.021108,203,55.007522
-166.904088,80,121.615343
-163.000485,91,144.773324
-182.136673,674,226.737055
-220.124312,527,312.499473
-49.117219,800,408.706124
-85.516495,308,480.683328
-106.75907,231,577.823776
321.300158,800,699.278911
329.369748,800,820.331312
410.171565,800,940.307552
100.097285,327,1042.693541
188.857503,505,1161.362112
334.170127,800,1292.059034
95.781072,327,1388.836644
103.350518,364,1495.337634
106.12446,411,1608.913041
365.488704,800,1734.675014
327.791357,800,1856.099721
235.673336,543,1969.687051
350.37559,800,2101.516736
-82.318574,304,2200.562939
356.864844,800,2328.915743
368.500732,800,2452.801245
357.872317,800,2578.076137
437.055038,800,2701.527434
429.307331,800,2826.374187
483.456184,800,2947.343128
488.311431,800,3071.790305
527.493724,800,3191.943704
508.415955,800,3311.597376
495.524114,800,3438.45268
516.274725,800,3561.423061
512.48608,800,3682.593681
569.663779,800,3804.06738
501.813099,800,3929.345087
559.7113,800,4055.389139
491.094545,800,4182.731306
589.886352,800,4311.370562
606.382669,800,4440.25174
676.611401,800,4567.458966
623.127084,800,4693.836447
676.706635,800,4821.784604
636.168943,800,4945.513522
631.600105,800,5064.098645
-151.571841,95,5152.331181
649.395237,800,5260.483933
640.785312,800,5390.148144
673.340209,800,5510.236322
648.370774,800,5634.895007
673.152474,800,5759.927925
671.115276,800,5882.222842
643.556642,800,6012.978108
652.749251,800,6136.770635
627.332993,800,6261.681628
651.149431,800,6383.215945
649.542735,800,6505.545389
431.881863,639,6615.808594
637.953655,800,6743.9725
650.076967,800,6879.433746
654.116833,800,7005.679805
581.284652,800,7131.795898
625.108912,800,7260.866167
651.724495,800,7382.113688
676.896685,800,7504.437128
590.302504,800,7629.517348
659.171056,800,7752.523843
632.687289,800,7875.153761
628.394826,800,8006.158594
305.551481,605,8123.748941
618.183246,800,8244.341846
619.100362,800,8373.26135
608.401093,800,8500.418715
643.700528,800,8622.228541
641.528607,800,8741.452081
670.24931,800,8865.748823
598.758943,800,8989.963035
634.4923,800,9114.318651
620.168143,800,9240.658289
623.903155,800,9361.692536
670.866166,800,9484.233238
621.758583,800,9608.620223
631.201537,800,9734.715575
687.4803,800,9860.262346
643.479721,800,9982.816777
643.003122,800,10103.949107
636.759481,800,10232.926537
679.041002,800,10354.194299
634.373952,800,10478.134554
-112.389752,155,10569.321373
671.670486,800,10693.745447
649.509495,800,10815.232481
609.35029,800,10939.97343
631.269362,800,11067.539744
618.985618,800,11186.339787
638.19258,800,11311.221074
624.35517,800,11436.469236
615.189804,800,11556.692402
628.416102,800,11685.446645
652.045815,800,11805.883568
629.679903,800,11926.117754
603.171404,800,12056.210903
657.327467,800,12178.48295
611.834924,800,12303.547223
654.324245,800,12425.884648
587.024016,800,12549.150802
625.920228,800,12670.092946
645.426721,800,12796.757551
653.187738,800,12920.516215
624.179929,800,13043.583422
638.31786,800,13171.315004
637.048537,800,13290.492682
615.754405,800,13415.59084
622.199778,800,13540.025858
638.249592,800,13659.406981
626.989795,800,13789.199842
617.363346,800,13916.55264
650.337282,800,14041.339157
654.14286,800,14163.655321
646.910284,800,14286.778492
631.339166,800,14408.430231
565.880332,800,14531.628959
670.02217,800,14655.034821
654.410814,800,14779.468745
604.841418,800,14902.304345
629.214143,800,15029.756233
651.182449,800,15158.30124
633.62173,800,15288.449836
637.690321,800,15404.678428
633.245733,800,15529.364518
602.407724,800,15651.769357
614.818902,800,15778.613017
677.687407,800,15900.789399
613.820861,800,16019.467754
679.267374,800,16141.061777
580.669196,800,16269.172688
596.254932,800,16391.31709
611.766529,800,16507.218774
647.854712,800,16631.516447
671.705133,800,16754.600327
657.946579,800,16879.212505
694.752629,800,17005.706396
596.106049,800,17128.983507
379.301894,679,17245.271509
665.241482,800,17375.168367
639.823366,800,17494.025703
638.674232,800,17618.420095
596.743381,800,17738.737226
633.58834,800,17864.235067
659.442577,800,17991.348062
634.803141,800,18110.450842
0.797053,1,18113.994898
616.50278,800,18234.32609
651.927841,800,18362.988093
667.174457,800,18487.87887
644.666526,800,18614.210122
657.919004,800,18733.309521
637.1168,800,18852.64208
655.44777,800,18980.407551
634.795412,800,19101.758113
648.562537,800,19228.440069
618.488085,800,19358.241498
619.500413,800,19477.695143
660.389276,800,19603.654617
598.089668,800,19727.475829
640.030698,800,19850.437566
575.384733,800,19978.834507
