#{"t_start": 1634146986.5413857, "env_id": null}
r,l,t
-403.054882,30,0.048864
-425.031539,223,0.586639
-444.568051,329,2.04314
-65.112519,800,5.186923
-6.070786,800,10.226016
-403.017648,28,13.223565
-23.417945,800,14.758048
-403.452085,32,17.72129
-403.236243,27,17.874866
-403.338394,32,18.016707
-403.139016,33,18.184066
-403.61264,32,18.37426
-403.446765,31,18.565746
-403.665376,34,18.732724
-407.832394,88,18.980738
-76.159605,800,20.59896
-118.007703,800,25.323004
-31.378963,800,41.295063
-31.795448,800,45.662618
-9.407918,800,50.079814
-0.037813,800,54.601488
14.714972,800,59.077189
17.609521,800,63.366234
30.355667,800,81.37052
30.158401,800,85.847464
50.409411,800,90.261355
64.471845,800,94.989616
61.265596,800,99.61832
84.287931,800,104.088067
117.72549,800,123.722305
146.524633,800,128.217216
246.396713,800,132.72174
197.43656,800,137.238674
311.716367,800,141.727365
270.357237,800,146.204368
397.996525,800,163.745293
-132.475669,598,167.79493
351.239089,800,171.72344
382.755685,800,176.16342
406.521422,800,180.663097
376.512064,800,185.423097
279.661262,800,189.898436
296.387587,800,209.113416
305.793534,800,213.569596
378.128578,800,218.18679
385.329713,800,222.559627
387.534082,800,226.878255
377.06375,800,231.325057
307.883937,800,248.314729
326.859547,800,252.802174
403.677962,800,257.390971
366.888955,800,261.886029
399.530547,800,266.290056
-16.965127,785,270.598026
386.799269,800,288.903756
415.374603,800,293.342028
362.83638,800,297.700361
-112.121563,635,301.841325
430.195153,800,305.735111
-161.806873,521,309.887882
-81.499411,708,313.349318
-275.277759,369,316.627545
426.385447,800,329.265908
345.035577,800,333.639279
399.218107,800,338.486317
385.335322,800,343.100044
395.30615,800,347.668952
278.484313,800,352.304827
355.809069,800,370.847847
407.838464,800,375.332744
351.56915,800,379.935451
364.316181,800,384.449794
350.3489,800,389.190292
375.889077,800,393.7885
383.029574,800,411.752239
386.83982,800,416.20536
400.69802,800,420.724684
409.664071,800,425.212927
-286.161751,287,428.768551
434.688061,800,431.301416
-314.539328,234,435.10705
417.663562,800,437.91026
410.301516,800,460.44315
-323.231985,253,464.877669
419.029889,800,467.286602
327.687102,800,471.83081
226.295753,800,476.801722
396.273285,800,481.422661
528.383236,800,486.288235
506.059074,800,512.508578
454.906596,800,517.194013
605.652169,800,522.334485
376.128933,800,526.77603
609.681392,800,531.782474
460.415314,800,536.415705
439.269138,800,556.640452
630.209825,800,561.505082
587.22437,800,566.197528
534.167388,800,570.911689
656.996443,800,575.853053
576.12415,800,580.705857
638.965102,800,602.752635
580.873234,800,607.549392
587.755253,800,612.439019
-43.388711,800,617.4697
-2.589859,800,622.348864
518.678747,800,627.164621
635.769629,800,632.123206
627.987094,800,656.401953
599.498727,800,661.357764
633.588566,800,666.269676
612.716046,800,671.08443
588.578731,800,676.0672
654.042788,800,680.968324
642.414413,800,705.284697
616.15944,800,710.671391
605.145531,800,715.618893
613.806852,800,720.599568
559.131397,800,725.386012
656.856156,800,730.461912
621.323888,800,752.791582
641.65375,800,757.684818
644.083487,800,762.704868
606.380426,800,767.675343
661.10596,800,772.588912
624.286832,800,777.741607
602.80936,800,800.98303
588.227106,800,805.838774
602.676725,800,811.362529
646.093542,800,817.157083
669.092309,800,823.086385
611.695851,800,829.169566
629.804569,800,834.892069
644.392708,800,856.274469
640.041743,800,861.257526
613.443638,800,866.083316
643.030606,800,871.011513
634.980517,800,875.802992
649.332406,800,880.552156
555.131213,800,902.898629
629.803756,800,907.742364
627.594515,800,912.873971
603.370952,800,917.79351
606.940523,800,923.146785
643.642856,800,928.029298
614.866952,800,948.264702
633.163418,800,953.355345
573.32551,800,958.266222
597.685306,800,963.061701
595.664962,800,967.832189
589.256289,800,972.553426
607.463094,800,992.9917
-202.036634,344,997.00388
641.567677,800,1000.100477
620.794277,800,1004.935734
597.335863,800,1009.907658
597.642338,800,1014.942252
605.575332,800,1020.063965
596.829121,800,1045.975497
624.709342,800,1051.194786
636.768878,800,1056.236887
624.550465,800,1061.272227
613.846157,800,1066.293555
651.154603,800,1071.465056
654.077369,800,1097.458598
617.381358,800,1102.41231
589.94423,800,1107.387671
642.495762,800,1112.313126
584.152979,800,1117.210079
620.483716,800,1121.995146
631.893015,800,1126.827194
658.293661,800,1149.356869
618.975228,800,1154.451746
597.740238,800,1159.286644
608.475061,800,1164.115252
-287.442902,267,1167.987395
633.012313,800,1170.74646
638.212887,800,1175.573033
626.26898,800,1199.338913
602.811447,800,1204.327724
632.882199,800,1209.342233
648.393039,800,1214.342543
621.56382,800,1219.270326
607.028829,800,1224.309287
641.701953,800,1244.55321
630.554859,800,1249.601661
618.931752,800,1254.587643
617.526507,800,1259.673324
641.351248,800,1264.875374
606.454126,800,1269.685574
621.105806,800,1293.109937
632.857821,800,1298.010777
582.609041,800,1303.274585
602.822435,800,1308.319588
632.387895,800,1313.39781
637.384012,800,1318.531235
616.399152,800,1342.111909
572.632062,800,1347.125508
658.115802,800,1352.16636
637.136731,800,1357.028422
631.825392,800,1361.797336
627.959354,800,1366.628745
632.97958,800,1371.486608
623.580707,800,1395.498308
